Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>=,color_goal,color t+1,<,color_goal,22,91,57,21,19.469026548672566
color t+0,>,color_goal,distance t+5,<,distance t+36,14,61,17,64,18.666666666666668
angle t+46,<=,angle t+0,color t+1,<,color_goal,12,70,45,19,14.634146341463413
color t+0,>,color_goal,color t+1,<,color_goal,13,76,66,36,14.606741573033707
color t+1,>,color_goal,color t+0,<,color_goal,12,76,66,37,13.636363636363635
angle t+46,<=,angle t+0,color t+0,<,color_goal,10,72,47,17,12.195121951219512
color t+0,>,color_goal,color t+1,==,color_goal,10,79,14,88,11.235955056179774
color t+0,>=,color_goal,color t+1,<,distance_goal,113,0,78,0,10.000000000000009
color t+0,>=,color_goal,angle t+22,<=,speed t+9,102,0,68,0,10.000000000000009
color t+0,<=,color_goal,distance t+10,>,angle t+11,96,0,85,0,10.000000000000009
color t+0,>,color_goal,angle t+1,<,color_goal,89,0,102,0,10.000000000000009
color t+0,>,color_goal,color t+1,<,distance_goal,89,0,102,0,10.000000000000009
color t+0,>,color_goal,angle t+6,<,color t+1,89,0,97,0,10.000000000000009
color t+0,>,color_goal,angle t+0,<,color_goal,89,0,103,0,10.000000000000009
color t+0,>,color_goal,distance t+2,>=,color t+6,89,0,97,0,10.000000000000009
color t+0,>,color_goal,distance t+0,>,color t+3,89,0,100,0,10.000000000000009
color t+0,>,color_goal,color t+0,<,distance_goal,89,0,103,0,10.000000000000009
color t+0,>,color_goal,angle t+0,<=,distance t+8,87,0,97,0,10.000000000000009
color t+4,>,color_goal,angle t+0,<=,distance t+8,85,0,99,0,10.000000000000009
color t+6,>,color_goal,color t+0,<,distance_goal,83,0,103,0,10.000000000000009
color t+7,>,color_goal,angle t+0,<=,distance t+8,82,0,102,0,10.000000000000009
color t+14,>,color_goal,distance t+0,>,angle t+1,82,0,96,0,10.000000000000009
color t+0,>,color_goal,speed t+19,>,color t+27,81,0,84,0,10.000000000000009
color t+15,>,color_goal,color t+0,<,distance_goal,81,0,96,0,10.000000000000009
color t+0,>,color_goal,angle t+28,<=,distance t+20,80,0,84,0,10.000000000000009
color t+14,>,color_goal,color t+0,<=,distance t+27,78,0,87,0,10.000000000000009
color t+1,>,color_goal,color t+31,>=,angle t+0,77,0,84,0,10.000000000000009
color t+20,>,color_goal,color t+0,<,distance_goal,76,0,96,0,10.000000000000009
color t+20,>,color_goal,distance t+0,>,angle t+1,76,0,96,0,10.000000000000009
color t+0,>,color_goal,color t+43,>=,angle t+12,74,0,75,0,10.000000000000009
color t+26,>,color_goal,angle t+0,<,color_goal,73,0,93,0,10.000000000000009
color t+26,>,color_goal,color t+0,<,distance_goal,73,0,93,0,10.000000000000009
color t+28,>,color_goal,angle t+0,<,color_goal,72,0,92,0,10.000000000000009
color t+30,>,color_goal,distance t+0,>,angle t+1,72,0,90,0,10.000000000000009
angle t+15,<,angle t+39,angle t+0,<,color_goal,72,0,81,0,10.000000000000009
color t+27,>,color_goal,distance t+0,>,color t+3,72,0,93,0,10.000000000000009
color t+34,>,color_goal,color t+0,<,distance_goal,71,0,87,0,10.000000000000009
color t+35,>,color_goal,angle t+0,<=,distance t+14,70,0,87,0,10.000000000000009
color t+0,>,color_goal,distance t+15,>=,speed t+48,69,0,75,0,10.000000000000009
color t+39,>,color_goal,color t+0,<,distance_goal,67,0,86,0,10.000000000000009
color t+41,>,color_goal,color t+0,<,distance_goal,67,0,84,0,10.000000000000009
color t+44,>,color_goal,angle t+0,<,color_goal,66,0,82,0,10.000000000000009
color t+45,>,color_goal,angle t+0,<,color_goal,65,0,82,0,10.000000000000009
distance t+1,>,distance t+88,speed t+116,<=,speed t+0,76,0,0,0,9.999999999999998
speed t+9,>,speed t+23,speed t+123,<=,speed t+0,69,0,0,0,9.999999999999998
color t+3,>,color_goal,speed t+0,>,speed t+80,54,0,51,7,9.999999999999998
color t+79,>,color_goal,distance t+14,<=,distance t+0,47,0,61,5,9.999999999999998
color t+0,>,color_goal,speed t+116,<=,speed t+0,40,0,36,0,9.999999999999998
color t+0,>,color_goal,speed t+123,<=,speed t+0,38,0,31,0,9.999999999999998
